ITEM_ID;ITEM_DESC;LEN_MM;WID_MM;DEP_MM;WT_KG;QTY_PER_BOX;BOXES_ON_HAND;DEMAND
62066531;SYNTH_PART_62066531;154.6;154.6;100.7;0.403;8;1;0
48365112;SYNTH_PART_48365112;237.4;105.6;59.8;0.353;1;6;1
48847586;SYNTH_PART_48847586;184.8;129.2;85.7;1.493;1;1;9
44689132;SYNTH_PART_44689132;210.3;186.5;92.7;2.028;1;1;139
73069052;SYNTH_PART_73069052;113.3;85.7;85.6;0.474;7;2;1
79993232;SYNTH_PART_79993232;750.3;434.2;86.8;13.432;2;1;1
97968118;SYNTH_PART_97968118;279.8;238.8;98.3;1.427;1;10;121
91758308;SYNTH_PART_91758308;227.0;172.4;104.2;2.707;1;2;8
91562884;SYNTH_PART_91562884;107.0;89.5;78.0;1.019;1;6;17
73750509;SYNTH_PART_73750509;245.6;61.4;61.4;1.264;1;6;10
97646562;SYNTH_PART_97646562;865.9;630.1;216.6;14.029;1;5;0
68626097;SYNTH_PART_68626097;445.4;203.7;41.9;1.721;3;3;1
72833689;SYNTH_PART_72833689;341.3;341.3;86.3;2.198;2;2;1
65945681;SYNTH_PART_65945681;416.7;343.6;69.5;7.676;1;1;18
81119811;SYNTH_PART_81119811;230.6;176.4;92.4;0.527;8;35;1
38929549;SYNTH_PART_38929549;264.4;79.0;79.0;0.328;1;1;0
22062010;SYNTH_PART_22062010;170.6;170.6;115.3;0.851;2;12;2
84398738;SYNTH_PART_84398738;57.8;57.8;57.8;0.108;3;5;0
55202805;SYNTH_PART_55202805;135.5;97.4;88.7;0.778;4;4;4
59343932;SYNTH_PART_59343932;175.6;175.6;57.5;1.09;1;1;23
78126914;SYNTH_PART_78126914;147.9;147.9;41.4;1.237;1;1;2
93645814;SYNTH_PART_93645814;197.2;147.6;99.4;1.944;1;1;2
10710269;SYNTH_PART_10710269;424.1;333.9;153.6;6.586;1;1;19
19008770;SYNTH_PART_19008770;88.2;88.2;44.8;0.475;1;83;6
46557233;SYNTH_PART_46557233;247.4;171.1;46.6;2.281;1;1;0
62933289;SYNTH_PART_62933289;97.3;97.3;93.1;1.158;16;108;9
21412396;SYNTH_PART_21412396;140.3;140.3;99.6;2.121;1;4;5
87746461;SYNTH_PART_87746461;429.2;244.8;183.2;5.039;1;1;17
10395279;SYNTH_PART_10395279;262.0;130.3;51.1;1.634;1;75;5
11095509;SYNTH_PART_11095509;50.9;50.9;50.9;0.18;1;2;0
45145318;SYNTH_PART_45145318;1078.6;621.0;124.2;13.48;2;1;2
18928824;SYNTH_PART_18928824;205.1;123.4;53.4;1.845;1;8;0
87093512;SYNTH_PART_87093512;433.6;108.8;82.5;5.311;3;3;10
99746879;SYNTH_PART_99746879;330.6;330.6;195.6;4.41;1;15;21
64822567;SYNTH_PART_64822567;1197.3;771.4;291.1;17.43;1;1;14
54427754;SYNTH_PART_54427754;102.1;102.1;78.7;1.087;2;1;6
64130519;SYNTH_PART_64130519;525.8;228.4;140.3;2.065;1;15;52
