ITEM_ID;ITEM_DESC;LEN_MM;WID_MM;DEP_MM;WT_KG;QTY_PER_BOX;BOXES_ON_HAND;DEMAND
11742343;SYNTH_PART_11742343;263.0;109.7;48.1;1.108;3;1;2
20160501;SYNTH_PART_20160501;181.8;135.8;85.1;2.432;1;1;3
92105278;SYNTH_PART_92105278;204.2;91.5;91.5;1.697;30;4;2
32736465;SYNTH_PART_32736465;173.6;73.0;73.0;1.073;1;3;2
31608439;SYNTH_PART_31608439;166.5;82.5;82.5;0.96;1;1;2
41019399;SYNTH_PART_41019399;452.4;160.3;123.4;4.703;1;2;0
19488129;SYNTH_PART_19488129;265.8;184.7;65.6;2.138;1;32;1
47064808;SYNTH_PART_47064808;452.3;335.1;176.0;5.942;6;1;171
97366643;SYNTH_PART_97366643;114.3;93.2;36.8;0.432;1;391;1
29007070;SYNTH_PART_29007070;246.1;111.2;54.4;0.277;1;46;23
71554388;SYNTH_PART_71554388;67.3;67.3;67.3;0.416;1;13;1
34634298;SYNTH_PART_34634298;182.2;182.2;55.7;2.479;1;73;3
93728977;SYNTH_PART_93728977;382.0;324.2;179.9;6.105;1;8;51
60789957;SYNTH_PART_60789957;510.0;196.1;150.8;7.079;1;3;1
74087501;SYNTH_PART_74087501;901.8;311.3;234.8;9.343;2;1;14
30827158;SYNTH_PART_30827158;673.8;429.0;85.8;6.335;3;2;1
34288343;SYNTH_PART_34288343;343.6;343.6;160.4;1.228;1;1;11
35772172;SYNTH_PART_35772172;372.6;305.1;178.2;1.337;1;1;2
98159764;SYNTH_PART_98159764;507.1;237.8;74.6;9.189;1;64;1
85023489;SYNTH_PART_85023489;200.2;72.5;72.5;0.894;1;3;1
26047216;SYNTH_PART_26047216;251.6;115.7;96.2;2.212;1;43;0
24804275;SYNTH_PART_24804275;102.1;102.1;45.4;0.645;1;1;5
53910462;SYNTH_PART_53910462;463.4;250.8;103.0;6.357;1;1;0
81643973;SYNTH_PART_81643973;887.8;481.1;266.5;7.379;1;35;4
15768232;SYNTH_PART_15768232;486.8;121.7;70.2;5.429;1;1;1
31367084;SYNTH_PART_31367084;312.9;141.8;141.8;7.878;1;10;20
72218186;SYNTH_PART_72218186;612.1;435.9;87.2;10.198;1;1;3
95915101;SYNTH_PART_95915101;167.6;167.6;75.6;1.385;1;1;0
53013170;SYNTH_PART_53013170;199.5;130.1;102.5;1.095;2;4;2
57900177;SYNTH_PART_57900177;151.4;64.1;64.1;0.85;1;46;0
52120651;SYNTH_PART_52120651;129.1;89.2;52.6;0.826;2;25;2
83034994;SYNTH_PART_83034994;241.6;149.3;80.6;1.671;1;3;4
16553909;SYNTH_PART_16553909;725.8;207.1;58.5;8.716;1;7;0
95947562;SYNTH_PART_95947562;138.4;138.4;52.6;0.75;1;1;3
89831370;SYNTH_PART_89831370;232.5;79.0;79.0;1.451;18;1;8
91386610;SYNTH_PART_91386610;290.5;233.9;118.0;5.231;3;102;5
83479238;SYNTH_PART_83479238;243.5;150.6;99.7;0.511;1;1;0
45357580;SYNTH_PART_45357580;119.5;115.1;37.6;0.706;1;1;9
46351331;SYNTH_PART_46351331;723.0;180.7;180.7;6.903;6;1;8
34652992;SYNTH_PART_34652992;116.5;99.3;45.9;0.725;1;1;6
24391477;SYNTH_PART_24391477;190.7;180.3;41.8;1.963;21;3;2
30758873;SYNTH_PART_30758873;334.9;131.2;131.2;7.776;1;6;0
21253284;SYNTH_PART_21253284;650.2;162.5;138.0;7.057;15;1;2
29608413;SYNTH_PART_29608413;442.5;272.0;148.1;8.107;4;61;2
36303867;SYNTH_PART_36303867;189.0;137.0;115.5;2.213;1;9;5
51818122;SYNTH_PART_51818122;198.2;113.3;54.5;0.446;1;1;12
66550774;SYNTH_PART_66550774;197.6;161.4;88.8;0.742;1;45;13
35756270;SYNTH_PART_35756270;406.5;105.9;51.7;3.037;6;1;121
94955562;SYNTH_PART_94955562;73.8;63.6;63.6;0.407;4;3;3
17655104;SYNTH_PART_17655104;298.1;248.2;188.5;7.54;1;1;48
28563971;SYNTH_PART_28563971;229.4;146.5;88.9;2.364;1;1;11
47066193;SYNTH_PART_47066193;229.0;195.2;65.3;1.488;1;26;0
30511651;SYNTH_PART_30511651;310.3;148.6;68.8;1.256;1;1;4
95669884;SYNTH_PART_95669884;448.9;130.4;67.6;2.27;1;1;0
45747247;SYNTH_PART_45747247;278.8;259.1;165.3;2.054;1;5;21
34818851;SYNTH_PART_34818851;159.8;94.0;58.6;0.799;1;1;1
41167810;SYNTH_PART_41167810;433.2;290.4;63.9;2.296;1;2;5
90831550;SYNTH_PART_90831550;251.6;85.5;63.3;0.953;1;1;1
28222493;SYNTH_PART_28222493;902.4;258.0;237.4;9.724;1;1;5
50905929;SYNTH_PART_50905929;252.6;63.1;40.3;0.877;1;18;6
18210983;SYNTH_PART_18210983;109.8;109.8;104.0;0.895;1;3;2
10986393;SYNTH_PART_10986393;50.6;50.6;50.6;0.176;1;21;1
48312051;SYNTH_PART_48312051;282.9;135.7;66.9;2.829;2;1;45
22729636;SYNTH_PART_22729636;256.8;64.2;33.7;0.686;1;8;23
54552312;SYNTH_PART_54552312;579.3;424.2;162.6;3.992;1;1;0
38317906;SYNTH_PART_38317906;64.6;64.6;64.6;0.367;1;2;18
26235229;SYNTH_PART_26235229;196.5;118.2;69.1;2.141;1;1;3
55331154;SYNTH_PART_55331154;160.9;153.0;116.4;1.002;3;1;1
74155552;SYNTH_PART_74155552;351.5;170.1;170.1;7.057;1;6;1
58518784;SYNTH_PART_58518784;346.4;147.3;81.4;5.315;1;138;3
56163546;SYNTH_PART_56163546;175.2;103.6;100.8;0.508;1;9;16
39767184;SYNTH_PART_39767184;56.8;56.8;56.8;0.251;1;4;1
53940144;SYNTH_PART_53940144;265.0;81.4;81.4;0.522;1;17;13
87473629;SYNTH_PART_87473629;550.3;478.4;139.3;5.44;1;2;0
79413111;SYNTH_PART_79413111;281.3;227.9;159.1;4.654;1;15;4
