ITEM_ID;ITEM_DESC;LEN_MM;WID_MM;DEP_MM;WT_KG;QTY_PER_BOX;BOXES_ON_HAND;DEMAND
92452273;SYNTH_PART_92452273;119.7;89.3;47.7;0.174;1;14;1
12205570;SYNTH_PART_12205570;344.9;285.2;52.9;4.745;3;6;1
88896637;SYNTH_PART_88896637;190.2;151.7;49.4;0.632;1;3;22
21084543;SYNTH_PART_21084543;118.7;118.7;16.8;0.102;1;145;1
70965768;SYNTH_PART_70965768;32.3;32.3;21.7;0.034;1;4;0
24307658;SYNTH_PART_24307658;98.0;98.0;40.8;0.122;2;18;1
30229226;SYNTH_PART_30229226;68.3;68.3;41.4;0.291;1;1;13
32611078;SYNTH_PART_32611078;201.2;106.3;78.4;0.312;1;61;12
52703766;SYNTH_PART_52703766;135.5;78.5;49.8;0.797;4;3;12
37684508;SYNTH_PART_37684508;126.6;126.6;83.5;0.088;2;10;37
85300947;SYNTH_PART_85300947;366.2;159.3;130.2;3.635;7;1;50
69265261;SYNTH_PART_69265261;212.4;91.3;52.8;0.546;1;4;3
65160553;SYNTH_PART_65160553;250.5;202.2;105.2;4.915;3;1;1
43043399;SYNTH_PART_43043399;62.3;62.3;48.2;0.281;2;9;1
27358285;SYNTH_PART_27358285;101.0;101.0;81.9;0.89;1;1;2
77012610;SYNTH_PART_77012610;181.3;161.0;22.4;0.857;1;1;4
66589613;SYNTH_PART_66589613;166.8;149.9;18.0;0.573;3;1;1
78022750;SYNTH_PART_78022750;62.6;62.6;13.1;0.077;1;1;5
32101571;SYNTH_PART_32101571;226.7;136.4;51.0;0.372;1;9;13
78553473;SYNTH_PART_78553473;211.2;149.6;61.3;0.926;1;6;30
86191430;SYNTH_PART_86191430;291.8;263.9;99.1;2.733;1;1;1
76823830;SYNTH_PART_76823830;254.3;159.0;102.2;0.757;1;1;46
51267448;SYNTH_PART_51267448;12.9;12.9;12.6;0.003;1;71;0
46800292;SYNTH_PART_46800292;209.9;87.0;77.6;0.807;1;2;3
16740848;SYNTH_PART_16740848;41.7;41.7;18.5;0.048;1;27;0
86951477;SYNTH_PART_86951477;335.8;300.3;126.0;2.988;1;1;4
77092887;SYNTH_PART_77092887;153.1;124.5;72.5;0.441;1;14;2
83185000;SYNTH_PART_83185000;421.0;229.5;51.1;5.954;2;31;14
78484050;SYNTH_PART_78484050;280.3;242.7;68.3;1.155;3;12;0
11311101;SYNTH_PART_11311101;409.7;294.1;49.8;4.829;6;91;7
92497183;SYNTH_PART_92497183;156.8;66.3;19.0;0.297;1;13;0
42505863;SYNTH_PART_42505863;464.0;121.4;22.5;1.911;1;6;1
67730209;SYNTH_PART_67730209;441.6;314.5;71.2;0.647;1;1;1
74741793;SYNTH_PART_74741793;1052.4;412.4;113.7;3.233;1;10;11
35671414;SYNTH_PART_35671414;707.3;289.7;58.3;2.785;1;1;2
66600987;SYNTH_PART_66600987;54.0;54.0;52.5;0.23;1;7;26
22168078;SYNTH_PART_22168078;249.3;177.8;36.7;1.996;1;41;0
67572453;SYNTH_PART_67572453;34.1;34.1;33.2;0.058;2;12;2
66048263;SYNTH_PART_66048263;161.0;96.5;58.8;0.41;4;6;1
85095541;SYNTH_PART_85095541;789.4;379.9;234.2;5.263;2;11;9
50364759;SYNTH_PART_50364759;950.1;248.6;160.8;6.146;1;5;1
64944112;SYNTH_PART_64944112;236.9;113.2;58.4;0.747;1;2;4
78750328;SYNTH_PART_78750328;8.5;8.5;8.2;0.001;1;1;1
94044243;SYNTH_PART_94044243;81.6;81.6;42.5;0.426;1;1;0
45953632;SYNTH_PART_45953632;50.1;50.1;48.7;0.184;1;64;7
44387609;SYNTH_PART_44387609;195.5;78.1;7.0;0.161;1;13;0
29947612;SYNTH_PART_29947612;50.6;50.6;49.2;0.189;1;3;0
84182544;SYNTH_PART_84182544;131.2;109.0;61.8;0.577;2;22;0
87932351;SYNTH_PART_87932351;239.5;111.3;50.8;0.973;1;4;3
70907167;SYNTH_PART_70907167;10.3;10.3;10.0;0.002;2;1;5
