ITEM_ID;WT_KG;DEMAND;LEN_MM;WID_MM;DEP_MM
ITEM_4244;4;452;111;111;54
ITEM_8014;4;164;719;340;143
ITEM_7070;5;881;212;90;150
ITEM_1551;5;693;190;107;92
ITEM_8947;7;239;380;196;62
ITEM_5202;3;873;134;82;42
ITEM_8347;7;883;731;190;185
ITEM_7193;4;696;451;248;48
ITEM_3435;6;758;184;126;55
ITEM_2524;4;828;88;88;52
ITEM_3790;6;674;154;109;44
ITEM_5940;4;733;286;134;122
ITEM_7813;4;52;254;207;78
ITEM_7703;4;282;229;93;78
ITEM_4013;7;924;121;121;65
ITEM_8848;3;165;165;73;90
ITEM_6953;7;150;714;316;248
ITEM_5915;5;523;142;82;61
ITEM_6992;5;821;308;196;151
ITEM_5099;5;521;201;69;67
ITEM_8176;5;408;369;92;51
ITEM_6320;0;242;232;144;54
ITEM_2559;6;894;155;152;64
ITEM_1582;5;823;220;109;45
ITEM_1996;6;20;390;283;49
ITEM_6910;2;809;488;481;176
ITEM_3097;5;75;712;206;201
ITEM_4976;6;980;253;101;98
ITEM_5771;5;512;153;119;50
ITEM_4764;4;659;263;86;48
ITEM_1700;5;672;203;78;66
ITEM_4522;3;665;176;70;37
ITEM_6952;9;265;50;50;39
ITEM_7606;7;282;445;204;118
ITEM_2761;7;90;211;154;32
ITEM_3614;6;449;415;278;99
ITEM_4481;11;280;230;126;42
ITEM_8260;7;710;208;81;48
ITEM_4373;3;929;231;143;100
ITEM_2012;5;531;591;216;171
ITEM_3419;6;253;92;90;46
ITEM_5497;2;484;706;440;71
ITEM_3092;5;472;324;215;46
ITEM_4304;4;598;88;88;62
