ITEM_ID;ITEM_DESC;LEN_MM;WID_MM;DEP_MM;WT_KG;QTY_PER_BOX;BOXES_ON_HAND;DEMAND
18175802;SYNTH_PART_18175802;93.0;71.3;71.3;0.646;1;8;28
25943962;SYNTH_PART_25943962;180.5;180.3;50.8;1.506;1;1;4
53421735;SYNTH_PART_53421735;273.2;222.8;194.0;0.766;4;1;3
54217735;SYNTH_PART_54217735;118.5;118.5;104.9;0.822;1;7;3
37194097;SYNTH_PART_37194097;402.4;201.9;137.9;4.267;4;3;0
52729301;SYNTH_PART_52729301;127.9;101.6;92.6;1.234;5;1;1
50810070;SYNTH_PART_50810070;264.9;164.5;115.2;2.347;1;8;40
14942979;SYNTH_PART_14942979;250.9;138.0;109.0;1.255;1;4;0
14162685;SYNTH_PART_14162685;131.9;131.9;89.5;2.125;1;3;2
11428127;SYNTH_PART_11428127;206.3;83.3;83.3;1.955;1;9;0
78643437;SYNTH_PART_78643437;181.1;151.3;41.6;0.842;3;1;1
15585184;SYNTH_PART_15585184;775.3;524.5;105.5;13.34;1;4;2
35150800;SYNTH_PART_35150800;122.6;122.6;66.4;0.499;1;11;5
92943725;SYNTH_PART_92943725;495.8;153.2;77.5;0.979;1;11;0
63255961;SYNTH_PART_63255961;309.7;298.9;98.9;7.766;1;1;1
17368103;SYNTH_PART_17368103;53.6;53.6;53.6;0.211;1;2;1
96050894;SYNTH_PART_96050894;465.9;153.5;153.5;1.097;1;1;8
73872780;SYNTH_PART_73872780;137.0;135.9;96.2;0.533;1;1;68
97696982;SYNTH_PART_97696982;258.1;135.2;37.5;0.126;1;6;6
54315699;SYNTH_PART_54315699;576.6;144.1;112.7;7.504;64;25;4
23259122;SYNTH_PART_23259122;109.6;81.8;40.2;0.493;1;1;4
51131029;SYNTH_PART_51131029;246.8;74.1;74.1;1.371;1;3;3
60063062;SYNTH_PART_60063062;53.7;53.7;53.7;0.211;1;1;0
81222077;SYNTH_PART_81222077;408.2;357.5;168.9;6.536;1;1;1
81643739;SYNTH_PART_81643739;86.9;86.9;36.0;0.371;1;6;1
29509121;SYNTH_PART_29509121;875.6;601.5;166.9;7.014;18;1;2
89535281;SYNTH_PART_89535281;187.2;108.6;108.6;1.669;2;1;1
32155686;SYNTH_PART_32155686;956.7;392.8;137.5;3.35;1;45;5
83262649;SYNTH_PART_83262649;256.1;64.3;64.3;0.996;1;3;0
32846788;SYNTH_PART_32846788;148.2;148.2;96.4;2.222;1;3;1
28418796;SYNTH_PART_28418796;739.8;185.0;99.8;16.57;1;3;8
73192647;SYNTH_PART_73192647;498.3;124.6;124.6;0.746;1;1;6
85692352;SYNTH_PART_85692352;45.6;45.6;45.6;0.129;22;5;0
33683170;SYNTH_PART_33683170;719.7;179.9;69.1;2.777;1;30;1
25688487;SYNTH_PART_25688487;648.5;162.1;162.1;2.998;1;1;2
43208781;SYNTH_PART_43208781;223.8;187.8;97.2;0.442;1;9;2
43317030;SYNTH_PART_43317030;161.9;161.9;93.5;0.402;1;10;6
81080270;SYNTH_PART_81080270;391.4;235.4;109.1;2.237;1;1;2
28249231;SYNTH_PART_28249231;202.4;166.0;102.8;2.532;3;1;2
95109349;SYNTH_PART_95109349;381.1;258.8;94.5;6.247;1;34;1
41718538;SYNTH_PART_41718538;200.2;68.1;68.1;1.267;1;24;21
37037241;SYNTH_PART_37037241;643.5;160.9;89.1;7.525;1;3;0
21810233;SYNTH_PART_21810233;208.2;90.5;89.0;1.785;1;1;3
36780664;SYNTH_PART_36780664;158.4;94.1;56.6;0.198;1;1;2
66974358;SYNTH_PART_66974358;145.4;145.4;34.7;1.003;1;1;20
24720982;SYNTH_PART_24720982;292.0;292.0;186.9;1.944;1;2;2
31171574;SYNTH_PART_31171574;62.2;62.2;47.6;0.251;1;3;0
73536223;SYNTH_PART_73536223;289.3;131.5;38.8;2.016;1;174;1
15941535;SYNTH_PART_15941535;382.8;266.0;178.4;6.477;1;1;3
33866694;SYNTH_PART_33866694;148.0;111.0;49.6;1.112;1;1;1
77296443;SYNTH_PART_77296443;38.1;38.1;38.1;0.076;7;2;3
20187174;SYNTH_PART_20187174;391.0;147.6;147.6;7.726;1;2;3
92204910;SYNTH_PART_92204910;141.4;141.4;72.9;1.699;1;15;0
68115412;SYNTH_PART_68115412;429.7;107.4;69.8;1.878;1;22;0
34873542;SYNTH_PART_34873542;218.6;86.7;86.7;0.384;2;4;1
80634739;SYNTH_PART_80634739;209.5;160.4;63.0;0.197;1;15;2
82461728;SYNTH_PART_82461728;114.5;73.5;73.5;0.844;2;9;2
15044559;SYNTH_PART_15044559;109.3;92.3;92.3;0.167;1;1;0
22658671;SYNTH_PART_22658671;221.3;167.4;71.2;0.559;1;8;7
56132892;SYNTH_PART_56132892;397.9;145.8;56.1;0.365;1;67;6
96675345;SYNTH_PART_96675345;716.4;179.1;179.1;5.608;1;52;3
64386591;SYNTH_PART_64386591;337.3;181.3;127.6;4.823;1;8;1
99806619;SYNTH_PART_99806619;412.3;325.1;161.1;7.314;3;1;1
49154826;SYNTH_PART_49154826;672.3;171.0;54.1;6.526;1;14;1
58715777;SYNTH_PART_58715777;115.9;105.9;105.9;1.773;1;8;8
68033783;SYNTH_PART_68033783;461.2;115.3;115.3;8.019;1;1;2
83382943;SYNTH_PART_83382943;176.3;119.2;56.4;0.765;1;1;1
53217213;SYNTH_PART_53217213;160.5;160.5;111.4;1.303;1;20;0
91465399;SYNTH_PART_91465399;458.9;173.6;57.3;4.121;1;5;0
42864627;SYNTH_PART_42864627;267.6;143.6;43.9;2.303;1;8;5
29997885;SYNTH_PART_29997885;220.1;183.5;57.3;0.15;9;3;1
77126160;SYNTH_PART_77126160;440.9;130.6;130.6;8.125;1;6;0
95722466;SYNTH_PART_95722466;219.7;145.0;61.0;1.393;4;1;10
69438280;SYNTH_PART_69438280;332.7;254.0;196.0;2.794;1;17;0
42665458;SYNTH_PART_42665458;65.6;65.6;65.6;0.385;1;1;1
38361065;SYNTH_PART_38361065;200.4;154.3;64.4;2.514;1;177;7
46679469;SYNTH_PART_46679469;426.6;138.4;63.0;5.072;1;1;0
63658180;SYNTH_PART_63658180;359.7;132.0;132.0;1.594;1;1;0
32566950;SYNTH_PART_32566950;385.3;325.2;151.3;4.368;1;10;16
84382918;SYNTH_PART_84382918;312.6;311.5;195.1;4.636;1;49;2
47110424;SYNTH_PART_47110424;220.1;70.8;63.4;0.503;1;2;8
76129008;SYNTH_PART_76129008;108.7;108.7;108.7;1.337;1;12;7
62524390;SYNTH_PART_62524390;101.9;101.9;57.1;0.809;1;1;4
27913596;SYNTH_PART_27913596;49.6;49.6;49.6;0.075;1;2;0
66019556;SYNTH_PART_66019556;415.3;120.2;112.6;2.708;1;13;7
29924527;SYNTH_PART_29924527;235.0;146.8;85.0;0.74;1;3;0
73161605;SYNTH_PART_73161605;82.3;82.3;82.3;0.761;1;1;4
17636155;SYNTH_PART_17636155;438.9;360.4;191.4;5.353;2;3;2
67005740;SYNTH_PART_67005740;371.8;92.9;92.9;2.758;2;9;2
31080946;SYNTH_PART_31080946;274.2;83.4;83.4;1.916;2;1;7
31059070;SYNTH_PART_31059070;717.4;373.6;172.6;6.083;1;10;0
71187018;SYNTH_PART_71187018;216.0;133.7;97.9;2.24;1;2;1
93930535;SYNTH_PART_93930535;107.9;107.9;63.0;0.171;2;1;10
22306157;SYNTH_PART_22306157;68.2;68.2;68.2;0.231;4;1;0
67826997;SYNTH_PART_67826997;260.1;87.2;87.2;1.032;7;1;1
12994290;SYNTH_PART_12994290;272.9;272.9;54.6;3.292;1;1;3
79404176;SYNTH_PART_79404176;465.0;208.0;43.2;5.696;1;4;2
27330407;SYNTH_PART_27330407;91.4;91.4;48.7;0.555;1;1;1
22149786;SYNTH_PART_22149786;59.3;59.3;59.3;0.284;8;10;1
93542276;SYNTH_PART_93542276;207.0;198.6;49.8;1.722;1;3;8
86686147;SYNTH_PART_86686147;285.7;214.5;199.2;4.507;2;179;0
60556592;SYNTH_PART_60556592;712.8;518.3;122.6;8.644;1;1;1
72468786;SYNTH_PART_72468786;92.4;89.2;89.2;1.002;3;10;0
61669769;SYNTH_PART_61669769;284.0;163.6;163.6;6.036;1;11;2
38246109;SYNTH_PART_38246109;198.6;119.9;69.4;1.578;2;1;10
24657203;SYNTH_PART_24657203;56.0;56.0;56.0;0.239;1;1;18
68683593;SYNTH_PART_68683593;384.1;234.8;111.4;6.483;1;8;10
70607388;SYNTH_PART_70607388;441.7;113.4;113.4;3.418;1;17;7
48876205;SYNTH_PART_48876205;276.7;216.6;161.3;0.677;1;2;4
89787081;SYNTH_PART_89787081;181.6;105.2;33.9;0.883;1;57;135
36333710;SYNTH_PART_36333710;395.4;212.4;91.3;5.086;1;14;2
49688577;SYNTH_PART_49688577;611.9;391.1;184.2;3.987;1;109;2
11176608;SYNTH_PART_11176608;266.3;109.6;109.6;2.438;1;1;10
53647704;SYNTH_PART_53647704;98.4;98.4;85.9;1.134;1;2;0
48323850;SYNTH_PART_48323850;299.1;299.1;137.0;4.113;1;18;1
51040412;SYNTH_PART_51040412;150.2;81.8;81.8;1.373;1;3;0
32103535;SYNTH_PART_32103535;162.4;118.3;78.0;1.368;1;2;0
23416839;SYNTH_PART_23416839;1184.2;490.3;273.4;10.29;1;1;0
92335322;SYNTH_PART_92335322;219.6;125.4;91.3;1.847;1;4;1
95599832;SYNTH_PART_95599832;936.0;258.3;235.0;8.778;2;1;19
71717231;SYNTH_PART_71717231;102.4;62.6;62.6;0.063;1;4;0
94777492;SYNTH_PART_94777492;134.1;62.2;62.2;0.708;1;6;12
83097603;SYNTH_PART_83097603;429.3;206.4;48.7;1.255;1;1;8
87308528;SYNTH_PART_87308528;201.3;158.1;60.4;0.74;3;2;0
97375522;SYNTH_PART_97375522;631.6;299.7;170.6;4.213;1;16;2
78390557;SYNTH_PART_78390557;160.2;160.2;81.7;0.136;1;1;69
84714709;SYNTH_PART_84714709;68.7;68.7;68.7;0.443;34;149;3
85593067;SYNTH_PART_85593067;413.9;124.9;86.2;5.099;2;4;10
94602868;SYNTH_PART_94602868;361.0;109.3;63.2;3.402;1;8;0
29363985;SYNTH_PART_29363985;541.0;351.2;131.8;2.656;1;3;0
94786344;SYNTH_PART_94786344;113.3;72.2;45.1;0.503;1;15;4
78592076;SYNTH_PART_78592076;243.0;81.6;81.6;1.509;1;1;1
82839172;SYNTH_PART_82839172;319.0;110.5;84.7;4.073;4;1;15
91247186;SYNTH_PART_91247186;179.1;162.3;54.7;2.168;2;3;1
33108205;SYNTH_PART_33108205;399.3;347.1;73.3;7.82;1;1;4
61424278;SYNTH_PART_61424278;386.4;289.8;126.3;8.082;1;13;4
52738113;SYNTH_PART_52738113;261.8;142.9;46.1;0.795;1;1;1
49753240;SYNTH_PART_49753240;207.1;125.9;49.4;1.309;1;38;1
61298041;SYNTH_PART_61298041;540.3;448.3;104.4;3.479;1;1;11
82601323;SYNTH_PART_82601323;301.6;126.9;123.7;2.177;2;22;1
23748850;SYNTH_PART_23748850;675.5;372.9;182.9;8.946;1;3;1
54574710;SYNTH_PART_54574710;87.8;87.8;79.9;0.573;1;1;1
42464363;SYNTH_PART_42464363;264.7;69.9;69.9;1.765;1;5;6
73212688;SYNTH_PART_73212688;131.7;125.6;110.2;0.235;1;46;33
66201321;SYNTH_PART_66201321;72.8;72.8;72.8;0.07;1;2;2
30907168;SYNTH_PART_30907168;660.8;165.2;98.3;0.818;1;1;1
82401754;SYNTH_PART_82401754;205.7;76.5;36.4;0.152;2;1;0
29503923;SYNTH_PART_29503923;60.6;60.6;60.6;0.304;2;9;242
24385735;SYNTH_PART_24385735;338.6;119.2;119.2;4.374;46;14;7
92432243;SYNTH_PART_92432243;180.4;96.5;87.8;0.743;4;5;1
84306633;SYNTH_PART_84306633;36.2;36.2;36.2;0.065;14;1;1
37950816;SYNTH_PART_37950816;199.9;170.0;80.5;1.188;1;74;1
51727788;SYNTH_PART_51727788;449.5;112.4;94.5;0.684;1;2;122
82372754;SYNTH_PART_82372754;335.4;297.9;101.8;8.395;1;1;1
59991690;SYNTH_PART_59991690;299.3;299.3;166.0;1.361;4;2;0
