ITEM_ID;ITEM_DESC;LEN_MM;WID_MM;DEP_MM;WT_KG;QTY_PER_BOX;BOXES_ON_HAND;DEMAND
16908815;SYNTH_PART_16908815;417.0;162.1;148.6;3.621;2;2;10
33551885;SYNTH_PART_33551885;249.1;143.1;73.5;2.364;1;32;7
99969265;SYNTH_PART_99969265;354.2;174.0;98.1;7.528;1;1;1
28079867;SYNTH_PART_28079867;116.8;116.8;95.0;1.419;1;8;17
67189494;SYNTH_PART_67189494;325.5;324.9;101.5;7.117;2;1;0
90130646;SYNTH_PART_90130646;398.8;368.3;81.8;5.908;1;1;24
90156946;SYNTH_PART_90156946;174.3;100.7;95.8;0.132;1;14;0
89831576;SYNTH_PART_89831576;66.5;66.5;49.5;0.299;1;25;0
32310026;SYNTH_PART_32310026;370.2;364.8;164.3;1.438;1;1;2
21711567;SYNTH_PART_21711567;79.4;79.4;39.0;0.335;1;5;144
11874038;SYNTH_PART_11874038;401.4;250.9;154.7;2.451;1;4;4
98597119;SYNTH_PART_98597119;425.0;116.8;116.8;7.912;1;1;12
54238001;SYNTH_PART_54238001;208.4;175.4;81.6;2.267;23;1;0
57862999;SYNTH_PART_57862999;46.6;46.6;46.6;0.138;2;2;1
50696200;SYNTH_PART_50696200;527.5;138.3;122.9;2.99;6;10;9
91824209;SYNTH_PART_91824209;46.6;46.6;46.6;0.138;1;2;0
34867283;SYNTH_PART_34867283;488.4;122.1;60.2;0.995;1;2;0
47095383;SYNTH_PART_47095383;180.5;180.5;69.3;1.53;3;8;42
66055665;SYNTH_PART_66055665;385.8;100.5;100.5;5.321;1;1;0
41776964;SYNTH_PART_41776964;196.7;112.9;94.4;2.502;1;12;2
17978252;SYNTH_PART_17978252;203.9;125.5;116.5;1.151;6;2;26
32753686;SYNTH_PART_32753686;309.5;226.8;183.7;0.993;2;1;7
84994777;SYNTH_PART_84994777;63.0;63.0;34.2;0.185;1;1;0
99288315;SYNTH_PART_99288315;263.1;181.6;55.0;0.601;1;3;0
45954553;SYNTH_PART_45954553;421.4;161.4;161.4;1.28;1;1;1
26712549;SYNTH_PART_26712549;124.1;124.1;96.3;1.486;7;1;4
34907845;SYNTH_PART_34907845;332.6;143.1;66.3;4.308;1;1;3
43998333;SYNTH_PART_43998333;1134.2;283.5;228.9;10.951;1;2;6
26497277;SYNTH_PART_26497277;119.0;106.6;80.9;1.402;2;1;10
30454366;SYNTH_PART_30454366;212.4;178.4;36.1;0.562;1;1;22
56653851;SYNTH_PART_56653851;687.1;504.0;100.8;3.285;2;19;8
57122354;SYNTH_PART_57122354;267.5;72.1;60.2;0.342;1;1;3
77446052;SYNTH_PART_77446052;126.0;126.0;114.6;2.481;1;3;3
21248800;SYNTH_PART_21248800;156.7;136.4;104.6;1.852;1;1;121
59451802;SYNTH_PART_59451802;620.5;287.2;57.4;8.812;1;2;1
44565165;SYNTH_PART_44565165;319.5;120.8;88.9;4.682;1;1;0
66678115;SYNTH_PART_66678115;296.0;219.8;114.8;7.501;1;15;85
82004450;SYNTH_PART_82004450;142.6;142.6;63.8;0.547;1;9;2
49717809;SYNTH_PART_49717809;197.4;124.0;104.4;2.191;2;48;1
82183615;SYNTH_PART_82183615;205.6;137.3;101.7;1.564;1;3;29
85446824;SYNTH_PART_85446824;56.8;56.8;56.8;0.25;1;5;3
51618519;SYNTH_PART_51618519;724.9;338.4;206.2;7.918;1;1;24
37922267;SYNTH_PART_37922267;38.0;38.0;33.9;0.067;1;1;1
31179865;SYNTH_PART_31179865;612.2;314.7;155.3;10.814;1;12;1
99351652;SYNTH_PART_99351652;499.8;226.2;119.7;1.831;1;1;5
54758473;SYNTH_PART_54758473;331.5;331.5;120.9;4.507;1;21;2
52145459;SYNTH_PART_52145459;209.7;84.9;84.9;2.065;1;9;4
49969321;SYNTH_PART_49969321;237.4;107.1;92.6;2.318;1;1;0
71041466;SYNTH_PART_71041466;195.3;66.8;66.8;0.075;1;3;1
33063384;SYNTH_PART_33063384;207.2;106.5;69.1;1.579;1;1;1
87356021;SYNTH_PART_87356021;500.0;133.2;84.7;7.697;1;2;84
51711584;SYNTH_PART_51711584;532.6;478.9;117.3;6.36;1;9;3
87851885;SYNTH_PART_87851885;63.9;63.9;58.4;0.326;4;29;28
11514648;SYNTH_PART_11514648;106.5;106.5;65.7;1.017;10;46;24
55789435;SYNTH_PART_55789435;418.6;115.3;91.8;4.85;1;2;4
48532218;SYNTH_PART_48532218;232.4;170.4;76.6;2.614;26;2;35
91652985;SYNTH_PART_91652985;130.9;130.9;79.9;1.87;1;1;0
11462236;SYNTH_PART_11462236;244.7;61.7;61.7;0.245;1;2;8
80254426;SYNTH_PART_80254426;475.9;361.0;151.2;1.684;1;8;37
85498629;SYNTH_PART_85498629;167.7;140.8;57.8;0.42;1;1;1
79902881;SYNTH_PART_79902881;88.9;88.9;36.9;0.398;1;1;15
70674109;SYNTH_PART_70674109;292.7;257.8;157.9;5.328;1;2;8
21804114;SYNTH_PART_21804114;345.0;219.9;174.8;2.937;4;1;17
66302682;SYNTH_PART_66302682;681.8;170.4;170.4;4.946;1;23;5
44683878;SYNTH_PART_44683878;88.9;88.9;46.3;0.499;1;1;1
27432751;SYNTH_PART_27432751;156.8;93.7;72.2;0.095;1;3;4
50894420;SYNTH_PART_50894420;172.6;96.0;96.0;0.187;1;29;0
77527405;SYNTH_PART_77527405;206.2;196.4;98.5;2.069;2;2;1
72107251;SYNTH_PART_72107251;71.1;71.1;53.0;0.366;1;1;122
75835938;SYNTH_PART_75835938;964.6;380.5;243.3;14.001;1;1;1
98817733;SYNTH_PART_98817733;52.4;52.4;52.4;0.196;1;1;2
96672631;SYNTH_PART_96672631;164.9;127.7;107.3;2.399;1;45;5
94464274;SYNTH_PART_94464274;304.4;277.0;195.1;1.757;1;1;2
25327787;SYNTH_PART_25327787;116.3;116.3;60.2;0.942;1;2;2
58762883;SYNTH_PART_58762883;99.0;89.0;78.6;0.946;1;8;1
68828358;SYNTH_PART_68828358;596.9;405.2;83.5;11.035;4;1;3
75328745;SYNTH_PART_75328745;444.8;268.1;68.0;3.841;1;7;1
19203053;SYNTH_PART_19203053;201.7;183.3;73.0;0.328;1;2;25
12083169;SYNTH_PART_12083169;681.7;429.9;86.0;10.397;1;1;1
74338992;SYNTH_PART_74338992;283.1;283.1;99.7;2.614;1;5;50
60671920;SYNTH_PART_60671920;309.5;256.0;191.5;0.984;1;1;8
82306993;SYNTH_PART_82306993;151.2;87.4;87.4;1.575;2;2;3
65402878;SYNTH_PART_65402878;161.4;116.1;63.6;1.626;1;2;0
52544028;SYNTH_PART_52544028;124.9;89.1;39.5;0.599;3;12;9
46159298;SYNTH_PART_46159298;57.8;57.8;36.3;0.165;15;1;1
94532982;SYNTH_PART_94532982;422.5;248.5;142.7;7.998;4;1;14
10544217;SYNTH_PART_10544217;241.1;137.3;86.7;1.837;1;19;4
22832406;SYNTH_PART_22832406;265.9;177.7;57.5;1.54;7;1;10
12977550;SYNTH_PART_12977550;332.3;94.1;94.1;4.019;1;1;0
69470515;SYNTH_PART_69470515;355.4;216.7;158.0;7.46;1;6;2
73997389;SYNTH_PART_73997389;698.7;174.7;71.7;7.797;1;1;49
88964070;SYNTH_PART_88964070;105.8;105.8;52.8;0.805;1;1;2
43354526;SYNTH_PART_43354526;398.2;317.2;113.6;6.522;1;8;2
92775153;SYNTH_PART_92775153;72.7;72.7;72.7;0.472;1;4;3
42078869;SYNTH_PART_42078869;281.1;206.5;180.9;1.872;4;4;1
15167361;SYNTH_PART_15167361;67.1;67.1;67.1;0.412;1;1;3
64009031;SYNTH_PART_64009031;95.6;95.6;57.9;0.722;1;1;0
75839047;SYNTH_PART_75839047;169.4;169.4;75.0;1.726;1;4;17
52773753;SYNTH_PART_52773753;493.8;250.4;96.2;4.68;1;19;14
15328300;SYNTH_PART_15328300;471.0;144.0;144.0;7.038;3;1;1
62706773;SYNTH_PART_62706773;468.9;271.5;102.7;8.159;1;1;0
51436850;SYNTH_PART_51436850;654.4;443.2;206.1;9.396;1;57;2
48550233;SYNTH_PART_48550233;53.3;53.3;53.3;0.207;14;2;1
65364977;SYNTH_PART_65364977;638.7;530.4;117.8;8.604;1;12;0
31882981;SYNTH_PART_31882981;450.1;269.0;112.9;6.607;1;9;0
72740415;SYNTH_PART_72740415;483.1;249.1;49.8;3.861;1;2;33
37216652;SYNTH_PART_37216652;1135.2;632.6;252.1;21.403;2;13;8
70398982;SYNTH_PART_70398982;124.7;124.7;71.0;1.507;1;1;0
92601165;SYNTH_PART_92601165;121.1;64.3;64.3;0.682;4;4;3
58216363;SYNTH_PART_58216363;84.2;83.6;63.1;0.606;2;1;18
67492487;SYNTH_PART_67492487;197.1;109.1;107.7;0.15;1;140;17
97726359;SYNTH_PART_97726359;140.8;140.8;58.0;1.352;1;73;1
18433278;SYNTH_PART_18433278;39.4;39.4;39.4;0.083;1;27;2
58763931;SYNTH_PART_58763931;264.4;70.4;70.4;1.787;1;1;5
10211915;SYNTH_PART_10211915;139.6;139.6;67.9;1.32;11;2;8
