loc_inst_code,LOCATION_TYPE,ITEM_ID,QTY_ALLOCATED,MAX_UNITS,GRID_X,GRID_Y,GRID_Z,FULL_LAYERS,PARTIAL_UNITS,ORIENT_X_MM,ORIENT_Y_MM,ORIENT_Z_MM,LOCATION_VOL_MM3,LOCATION_VOL_M3,STORED_VOL_M3,UTILIZATION_PCT
A1-00001,A1,44693706,1,7,1,7,1,0,1,103.4,91.6,103.4,10140000.0,0.0,0.0,9.7
A1-00006,A1,47768558,1,96,2,16,3,0,1,40.2,40.2,40.2,10140000.0,0.0,0.0,0.6
A1-00008,A1,25655207,2,8,1,8,1,0,2,78.0,74.5,78.0,10140000.0,0.0,0.0,8.9
A1-00013,A1,21695044,2,6,1,3,2,0,2,70.9,197.6,60.3,10140000.0,0.0,0.0,16.7
A1-00015,A1,93254897,1,1,1,1,1,1,0,97.7,390.7,97.7,10140000.0,0.0,0.0,36.8
A1-00017,A1,14035164,2,6,1,6,1,0,2,107.1,107.1,107.1,10140000.0,0.0,0.0,24.2
A1-00019,A1,72985085,3,3,1,3,1,1,0,93.0,183.4,93.0,10140000.0,0.0,0.0,46.9
A1-00024,A1,25020358,1,20,1,10,2,0,1,85.6,60.9,60.9,10140000.0,0.0,0.0,3.1
A1-00029,A1,96936936,2,5,1,5,1,0,2,69.2,126.2,126.2,10140000.0,0.0,0.0,21.7
A1-00035,A1,68516291,3,6,3,2,1,0,3,38.6,259.7,90.8,10140000.0,0.0,0.0,26.9
A1-00039,A1,23364224,3,4,2,2,1,0,3,46.9,218.3,83.2,10140000.0,0.0,0.0,25.2
A1-00050,A1,72161924,1,15,3,5,1,0,1,34.4,127.7,127.7,10140000.0,0.0,0.0,5.5
A1-00053,A1,20005117,2,2,1,2,1,1,0,76.4,243.2,76.4,10140000.0,0.0,0.0,28.0
A1-00059,A1,34822734,3,8,1,8,1,0,3,79.5,73.7,73.7,10140000.0,0.0,0.0,12.8
A1-00062,A1,18008292,2,7,1,7,1,0,2,87.0,87.0,87.0,10140000.0,0.0,0.0,13.0
A1-00063,A1,28965680,8,8,1,8,1,1,0,114.1,79.7,96.0,10140000.0,0.0,0.0,68.9
A1-00065,A1,25851877,2,2,1,2,1,1,0,101.8,306.1,115.7,10140000.0,0.0,0.0,71.1
