LOCATION_ID,LOCATION_TYPE,SKU,POS_X_MM,POS_Y_MM,POS_Z_MM,INIT_UNITS,CURRENT_STOCK,MAX_UNITS,GRID_X,GRID_Y,GRID_Z,FULL_LAYERS,PARTIAL_UNITS,ORIENT_X_MM,ORIENT_Y_MM,ORIENT_Z_MM,LOCATION_VOL_MM3,LOCATION_VOL_M3,STORED_VOL_M3
A1-00001,A1,34427315,0,0,0,6,6,6,1,6,1,1,0,121,86,121,12480000.0,0.012,0.008
A1-00002,A1,85496816,0,0,130,32,32,32,2,8,2,2,0,67,67,49,12480000.0,0.012,0.007
A1-00003,A1,92884700,0,0,260,3,3,3,1,3,1,1,0,106,162,114,12480000.0,0.012,0.006
A1-00004,A1,48365112,0,0,390,4,4,4,2,2,1,1,0,59,237,105,12480000.0,0.012,0.006
A1-00005,A1,76374767,0,0,520,16,16,16,2,8,1,1,0,66,66,66,12480000.0,0.012,0.005
A1-00006,A1,51245995,0,0,650,12,12,12,1,6,2,2,0,93,93,64,12480000.0,0.012,0.007
A1-00007,A1,29795069,0,0,780,2,2,2,1,2,1,1,0,159,210,96,12480000.0,0.012,0.006
A1-00008,A1,56054473,0,0,910,4,4,4,1,4,1,1,0,145,145,79,12480000.0,0.012,0.007
A1-00009,A1,19008770,0,0,1040,18,18,18,3,6,1,1,0,44,88,88,12480000.0,0.012,0.006
A1-00010,A1,33709964,0,0,1170,117,117,117,3,13,3,3,0,43,43,43,12480000.0,0.012,0.009
A1-00011,A1,76169852,0,0,1300,8,8,8,1,8,1,1,0,138,68,117,12480000.0,0.012,0.009
A1-00012,A1,68274321,0,0,1430,36,36,36,2,9,2,2,0,60,60,60,12480000.0,0.012,0.008
A1-00013,A1,48365112,0,0,1560,4,4,4,2,2,1,1,0,59,237,105,12480000.0,0.012,0.006
A1-00014,A1,56054473,0,0,1690,4,4,4,1,4,1,1,0,145,145,79,12480000.0,0.012,0.007
A1-00015,A1,48587978,0,0,1820,66,66,66,3,11,2,2,0,49,53,53,12480000.0,0.012,0.009
A1-00016,A1,54427754,0,0,1950,10,10,10,2,5,1,1,0,78,102,102,12480000.0,0.012,0.008
A1-00017,A1,33709964,210,0,0,117,117,117,3,13,3,3,0,43,43,43,12480000.0,0.012,0.009
A1-00018,A1,60148449,210,0,130,1,1,1,1,1,1,1,0,116,300,116,12480000.0,0.012,0.004
A1-00019,A1,81711465,210,0,260,3,3,3,1,3,1,1,0,157,157,91,12480000.0,0.012,0.007
A1-00020,A1,49535894,210,0,390,2,2,2,1,2,1,1,0,93,221,98,12480000.0,0.012,0.004
