ITEM_ID;WT_KG;DEMAND;LEN_MM;WID_MM;DEP_MM
62066531;0.403;0;154.6;154.6;100.7
48365112;0.353;1;237.4;105.6;59.8
48847586;1.493;9;184.8;129.2;85.7
44689132;2.028;139;210.3;186.5;92.7
73069052;0.474;1;113.3;85.7;85.6
79993232;13.432;1;750.3;434.2;86.8
97968118;1.427;121;279.8;238.8;98.3
91758308;2.707;8;227.0;172.4;104.2
91562884;1.019;17;107.0;89.5;78.0
73750509;1.264;10;245.6;61.4;61.4
97646562;14.029;0;865.9;630.1;216.6
68626097;1.721;1;445.4;203.7;41.9
72833689;2.198;1;341.3;341.3;86.3
65945681;7.676;18;416.7;343.6;69.5
81119811;0.527;1;230.6;176.4;92.4
38929549;0.328;0;264.4;79.0;79.0
22062010;0.851;2;170.6;170.6;115.3
84398738;0.108;0;57.8;57.8;57.8
55202805;0.778;4;135.5;97.4;88.7
59343932;1.09;23;175.6;175.6;57.5
78126914;1.237;2;147.9;147.9;41.4
93645814;1.944;2;197.2;147.6;99.4
10710269;6.586;19;424.1;333.9;153.6
19008770;0.475;6;88.2;88.2;44.8
46557233;2.281;0;247.4;171.1;46.6
62933289;1.158;9;97.3;97.3;93.1
21412396;2.121;5;140.3;140.3;99.6
87746461;5.039;17;429.2;244.8;183.2
10395279;1.634;5;262.0;130.3;51.1
11095509;0.18;0;50.9;50.9;50.9
45145318;13.48;2;1078.6;621.0;124.2
18928824;1.845;0;205.1;123.4;53.4
87093512;5.311;10;433.6;108.8;82.5
99746879;4.41;21;330.6;330.6;195.6
64822567;17.43;14;1197.3;771.4;291.1
54427754;1.087;6;102.1;102.1;78.7
64130519;2.065;52;525.8;228.4;140.3
85924365;6.289;5;397.5;241.9;57.1
85818582;1.314;2;188.8;71.4;71.4
31462079;1.486;1;373.1;261.2;82.3
63559672;0.216;7;82.8;82.8;82.8
34760103;1.529;13;258.9;83.7;51.7
78093039;1.538;2;185.0;169.6;100.0
93024990;1.148;7;261.0;91.0;35.4
49535894;0.849;10;221.5;98.5;93.7
27306510;15.756;30;909.3;534.1;106.8
85496816;0.305;1;67.3;67.3;49.3
11188507;0.195;10;265.3;115.1;98.5
71547480;0.449;12;218.5;141.3;60.5
47418169;7.051;0;475.0;319.9;198.8
71426515;8.262;8;561.4;140.4;140.4
13862288;2.527;450;318.0;179.4;163.4
65657927;7.801;4;397.0;246.7;73.4
76169852;0.895;1;138.0;117.3;68.9
24851341;1.225;32;444.0;341.0;124.8
86168169;1.79;1;154.7;143.8;59.0
38849841;6.757;4;313.9;284.5;81.0
34427315;0.77;25;121.7;121.7;86.3
49881869;2.023;5;245.0;78.7;78.7
31247805;1.186;1;225.4;62.1;62.1
57197042;1.202;5;448.0;276.1;149.9
33670615;0.386;5;255.8;107.3;99.8
47564437;7.825;0;526.6;526.6;105.3
55503690;4.397;1;648.6;509.6;205.2
62756761;0.42;3;94.9;94.9;72.9
66448998;0.201;1;209.2;183.3;80.7
97318300;3.83;2;580.0;145.0;107.7
70456972;0.142;0;176.2;176.2;70.4
87484105;0.896;0;118.2;76.4;72.7
23815148;7.949;12;417.9;277.4;145.3
78857230;1.445;22;360.8;312.6;139.4
18202565;1.828;0;243.4;128.2;77.6
25234688;2.547;0;236.9;99.2;99.2
63993224;1.951;1;321.1;191.6;68.1
26933566;4.017;6;371.1;353.8;70.8
27903647;0.602;21;450.1;112.5;110.4
72293173;0.136;6;118.5;118.5;36.7
81556634;2.52;2;196.3;127.7;73.7
68561821;0.472;8;72.8;72.8;65.3
29795069;2.104;2;210.5;159.5;96.3
39439125;0.936;0;105.4;80.7;80.7
60955488;1.351;9;99.7;99.7;99.7
30078773;4.453;2;285.6;238.5;202.4
92884700;0.189;61;162.5;114.5;106.1
69869349;7.528;13;446.7;374.0;94.7
60334986;0.086;0;39.8;39.8;39.8
18028004;1.681;2;161.5;130.2;58.6
41373513;1.817;1;447.3;366.6;100.6
90562784;4.956;6;633.6;522.9;104.6
38316960;2.218;0;555.1;555.1;111.0
69931027;1.544;5;133.4;108.6;78.1
80689044;1.329;1;265.3;162.5;91.7
