ITEM_ID;ITEM_DESC;LEN_MM;WID_MM;DEP_MM;WT_KG;QTY_PER_BOX;BOXES_ON_HAND;DEMAND
53839544;SYNTH_PART_53839544;223.2;104.9;103.5;0.35;1;6;8
14290145;SYNTH_PART_14290145;562.3;520.0;125.9;10.053;1;1;5
40451512;SYNTH_PART_40451512;174.1;119.7;91.4;0.192;1;4;0
41550450;SYNTH_PART_41550450;36.8;36.8;36.8;0.068;1;2;2
80134182;SYNTH_PART_80134182;64.8;64.8;55.6;0.319;7;4;1
31286015;SYNTH_PART_31286015;486.0;269.6;145.8;6.368;18;71;1
56342703;SYNTH_PART_56342703;450.3;112.6;112.6;3.98;1;2;47
28558716;SYNTH_PART_28558716;410.4;219.0;189.3;6.083;1;1;8
53514613;SYNTH_PART_53514613;230.2;87.9;87.9;1.432;1;11;0
93656216;SYNTH_PART_93656216;272.1;272.1;93.4;6.136;1;1;0
11564207;SYNTH_PART_11564207;120.4;81.3;72.9;0.524;1;2;3
70628583;SYNTH_PART_70628583;393.1;133.9;133.9;2.63;1;23;6
68516389;SYNTH_PART_68516389;99.0;99.0;99.0;1.322;1;2;4
81966193;SYNTH_PART_81966193;256.5;80.5;80.5;0.501;1;2;19
17643511;SYNTH_PART_17643511;92.0;79.5;79.5;0.794;1;5;3
82792034;SYNTH_PART_82792034;263.1;65.8;65.8;1.077;4;27;3
89483665;SYNTH_PART_89483665;542.9;423.1;86.1;10.602;1;2;1
81920308;SYNTH_PART_81920308;651.8;162.9;112.4;3.652;1;25;3
68123213;SYNTH_PART_68123213;356.0;189.6;104.5;1.539;2;19;15
12887419;SYNTH_PART_12887419;127.4;119.0;51.2;1.059;1;58;0
17330320;SYNTH_PART_17330320;155.7;82.4;82.4;1.433;8;2;6
93370222;SYNTH_PART_93370222;215.8;167.0;42.0;2.067;1;12;5
15859492;SYNTH_PART_15859492;357.6;260.8;62.2;0.392;1;1;12
20514351;SYNTH_PART_20514351;453.3;157.0;150.9;5.09;28;56;16
30348830;SYNTH_PART_30348830;252.3;131.2;72.4;1.676;2;4;31
70110076;SYNTH_PART_70110076;189.1;133.8;76.4;0.916;26;4;17
82863017;SYNTH_PART_82863017;172.8;172.8;90.8;0.715;1;3;1
80139353;SYNTH_PART_80139353;348.1;168.7;168.7;8.435;2;6;48
12804428;SYNTH_PART_12804428;972.2;572.4;114.5;22.527;1;22;1
22915586;SYNTH_PART_22915586;322.9;215.7;126.9;4.135;1;7;0
83855706;SYNTH_PART_83855706;395.0;361.6;77.4;0.716;1;1;3
22971159;SYNTH_PART_22971159;100.7;73.8;73.8;0.376;1;17;7
69901893;SYNTH_PART_69901893;46.4;46.4;46.4;0.137;1;2;15
19980054;SYNTH_PART_19980054;101.4;71.8;71.8;0.713;3;1;0
71273329;SYNTH_PART_71273329;68.0;68.0;68.0;0.17;1;118;293
75937520;SYNTH_PART_75937520;249.6;135.7;66.1;0.885;1;2;20
88605991;SYNTH_PART_88605991;858.6;214.6;140.6;11.427;1;3;11
36473991;SYNTH_PART_36473991;233.6;85.2;85.2;1.806;3;7;2
90643946;SYNTH_PART_90643946;469.9;364.0;72.8;6.882;1;1;12
56461919;SYNTH_PART_56461919;40.6;40.6;40.6;0.091;1;1;5
33199180;SYNTH_PART_33199180;66.2;66.2;66.2;0.396;1;1;0
12731068;SYNTH_PART_12731068;240.2;99.4;46.5;1.152;1;1;1
17090671;SYNTH_PART_17090671;231.2;67.5;67.5;1.262;1;1;0
23665303;SYNTH_PART_23665303;333.5;292.7;161.4;2.247;1;42;4
56082049;SYNTH_PART_56082049;248.8;140.1;63.8;2.602;1;1;1
51961928;SYNTH_PART_51961928;240.3;150.7;87.5;2.353;1;14;0
75811381;SYNTH_PART_75811381;74.0;74.0;69.6;0.52;1;1;3
17803654;SYNTH_PART_17803654;123.3;77.2;77.2;1.003;1;1;1
34921148;SYNTH_PART_34921148;308.7;308.7;160.4;3.071;1;6;9
82330608;SYNTH_PART_82330608;235.9;99.6;98.8;1.613;1;1;9
