LOCATION_ID;LOCATION_TYPE
001-001;A1
002-001;A1
003-001;A1
004-001;A1
005-001;A1
093-001;A1
094-001;A1
095-001;A1
096-001;A1
097-001;A1
098-001;A1
099-001;A1
100-001;A1
101-001;A1
102-001;A1
103-001;A1
104-001;A1
105-001;A1
106-001;A1
107-001;A1
108-001;A1
109-001;A1
110-001;A1
111-001;A1
112-001;A1
113-001;A1
114-001;A1
115-001;A1
116-001;A1
117-001;A1
118-001;A1
144-001;A1
145-001;A1
146-001;A1
147-001;A1
148-001;A1
149-001;A1
329-001;A1
333-001;A1
334-001;A1
335-001;A1
336-001;A1
337-001;A1
338-001;A1
339-001;A1
340-001;A1
341-001;A1
342-001;A1
343-001;A1
344-001;A1
345-001;A1
346-001;A1
347-001;A1
348-001;A1
349-001;A1
350-001;A1
351-001;A1
352-001;A1
353-001;A1
354-001;A1
355-001;A1
356-001;A1
357-001;A1
119-001;A2
120-001;A2
121-001;A2
122-001;A2
123-001;A2
124-001;A2
125-001;A2
126-001;A2
127-001;A2
128-001;A2
129-001;A2
130-001;A2
131-001;A2
132-001;A2
133-001;A2
134-001;A2
135-001;A2
136-001;A2
137-001;A2
138-001;A2
139-001;A2
140-001;A2
141-001;A2
142-001;A2
143-001;A2
150-001;A2
151-001;A2
152-001;A2
153-001;A2
154-001;A2
155-001;A2
156-001;A2
157-001;A2
158-001;A2
159-001;A2
160-001;A2
161-001;A2
162-001;A2
163-001;A2
164-001;A2
165-001;A2
166-001;A2
167-001;A2
168-001;A2
169-001;A2
170-001;A2
171-001;A2
172-001;A2
173-001;A2
174-001;A2
175-001;A2
176-001;A2
177-001;A2
178-001;A2
179-001;A2
180-001;A2
181-001;A2
182-001;A2
183-001;A2
184-001;A2
185-001;A2
186-001;A2
187-001;A2
188-001;A2
189-001;A2
190-001;A2
191-001;A2
192-001;A2
193-001;A2
194-001;A2
195-001;A2
196-001;A2
197-001;A2
198-001;A2
199-001;A2
200-001;A2
201-001;A2
202-001;A2
203-001;A2
204-001;A2
205-001;A2
206-001;A2
207-001;A2
208-001;A2
209-001;A2
210-001;A2
211-001;A2
212-001;A2
213-001;A2
214-001;A2
215-001;A2
216-001;A2
217-001;A2
218-001;A2
219-001;A2
220-001;A2
221-001;A2
222-001;A2
223-001;A2
224-001;A2
225-001;A2
226-001;A2
227-001;A2
228-001;A2
229-001;A2
230-001;A2
231-001;A2
232-001;A2
233-001;A2
234-001;A2
235-001;A2
236-001;A2
237-001;A2
238-001;A2
239-001;A2
240-001;A2
241-001;A2
242-001;A2
243-001;A2
244-001;A2
245-001;A2
246-001;A2
247-001;A2
248-001;A2
249-001;A2
250-001;A2
251-001;A2
252-001;A2
253-001;A2
254-001;A2
255-001;A2
256-001;A2
257-001;A2
258-001;A2
259-001;A2
260-001;A2
261-001;A2
262-001;A2
263-001;A2
264-001;A2
265-001;A2
266-001;A2
267-001;A2
268-001;A2
269-001;A2
270-001;A2
271-001;A2
272-001;A2
273-001;A2
274-001;A2
275-001;A2
276-001;A2
277-001;A2
278-001;A2
279-001;A2
280-001;A2
281-001;A2
282-001;A2
283-001;A2
284-001;A2
285-001;A2
286-001;A2
287-001;A2
288-001;A2
289-001;A2
290-001;A2
291-001;A2
292-001;A2
293-001;A2
294-001;A2
295-001;A2
296-001;A2
297-001;A2
298-001;A2
299-001;A2
300-001;A2
301-001;A2
302-001;A2
303-001;A2
304-001;A2
305-001;A2
306-001;A2
307-001;A2
308-001;A2
309-001;A2
310-001;A2
311-001;A2
312-001;A2
313-001;A2
314-001;A2
315-001;A2
316-001;A2
317-001;A2
318-001;A2
319-001;A2
320-001;A2
321-001;A2
322-001;A2
323-001;A2
324-001;A2
325-001;A2
326-001;A2
327-001;A2
328-001;A2
006-001;A3
007-001;A3
008-001;A3
009-001;A3
010-001;A3
011-001;A3
012-001;A3
013-001;A3
014-001;A3
015-001;A3
016-001;A3
017-001;A3
018-001;A3
019-001;A3
020-001;A3
021-001;A3
022-001;A3
023-001;A3
024-001;A3
025-001;A3
026-001;A3
027-001;A3
028-001;A3
029-001;A3
030-001;A3
031-001;A3
032-001;A3
033-001;A3
034-001;A3
035-001;A3
036-001;A3
037-001;A3
038-001;A3
039-001;A3
040-001;A3
041-001;A3
042-001;A3
043-001;A3
044-001;A3
045-001;A3
046-001;A3
047-001;A3
048-001;A3
049-001;A3
050-001;A3
051-001;A3
052-001;A3
053-001;A3
054-001;A3
055-001;A3
056-001;A3
057-001;A3
058-001;A3
059-001;A3
060-001;A3
061-001;A3
062-001;A3
063-001;A3
064-001;A3
065-001;A3
066-001;A3
067-001;A3
068-001;A3
069-001;A3
070-001;A3
071-001;A3
072-001;A3
073-001;A3
074-001;A3
075-001;A3
076-001;A3
077-001;A3
078-001;A3
079-001;A3
080-001;A3
081-001;A3
082-001;A3
083-001;A3
084-001;A3
085-001;A3
086-001;A3
087-001;A3
088-001;A3
089-001;A3
090-001;A3
091-001;A3
092-001;A3
330-001;A3
331-001;A3
332-001;A3
